,Tick,nombre,curr_id,smlID,header
34,DJUSDN,dj-defense,20028,2040305,Dow Jones Defense Historical Data
35,DJUSDR,dj-food---drug-retailers,19980,2039729,Dow Jones Food &amp; Drug Retailers Historical Data
36,DJUSDS,dj-industrial-suppliers,20058,2040665,Dow Jones Industrial Suppliers Historical Data
37,DJUSDT,dj-diversified-reits,20032,2040353,Dow Jones Diversified REITs Historical Data
38,DJUSDV,dj-computer-services,20023,2040245,Dow Jones Computer Services Historical Data
39,DJUSEC,dj-electrical-components---equip,20035,2040389,Dow Jones Electrical Components &amp; Equipment Historical Data
40,DJUSEE,dj-electronic---electrical-equip,19979,2039717,Dow Jones Electronic &amp; Electrical Equipment Historical Data
41,DJUSEH,dj-real-estate-holding---dev,20084,2040977,Dow Jones Real Estate Holding &amp; Development Historical Data
42,DJUSEN,dj-oil---gas,19972,2039633,Dow Jones Oil &amp; Gas Historical Data
43,DJUSES,dj-real-estate-services,20085,2040989,Dow Jones Real Estate Services Historical Data
44,DJUSEU,dj-electricity,20036,2040401,Dow Jones Electricity Historical Data
45,DJUSFA,dj-financial-administration,20040,2040449,Dow Jones Financial Administration Historical Data
46,DJUSFB,dj-food---beverage,19968,2039585,Dow Jones Food &amp; Beverage Makers Historical Data
47,DJUSFC,dj-fixed-line-telecommunications,20041,2040461,DowJones Fixed Line Telecommunications Historical Data
48,DJUSFD,dj-food-retailers---wholesalers,20043,2040485,Dow Jones Food Retail &amp; Wholesale Historical Data
49,DJUSFE,dj-industrial-machinery,20056,2040641,Dow Jones Industrial Machinery Historical Data
50,DJUSFH,dj-furnishings,20046,2040521,Dow Jones Furnishings Historical Data
51,DJUSFI,dj-financial-services,19967,2039573,Dow Jones Financial Services Historical Data
52,DJUSFN,dj-financials,19957,2039453,Dow Jones Financials Historical Data
53,DJUSFO,dj-food-producers,19981,2039741,Dow Jones Food Producers Historical Data
54,DJUSFP,dj-food-products,20042,2040473,Dow Jones Food Product Makers Historical Data
55,DJUSFR,dj-forestry---paper,19982,2039753,Dow Jones Forestry &amp; Paper Historical Data
56,DJUSFT,dj-footwear,20044,2040497,Dow Jones Footwear Historical Data
